zip5,population,median_income,young_adult_share,median_gross_rent,median_home_value
01944,5368,197875,0.0251490312965722,1872.0,932000.0
01945,20390,164325,0.0349190779794016,1769.0,904700.0
01949,9727,171458,0.0629176518967821,1621.0,713000.0
01950,18444,144259,0.0292235957492951,1511.0,792400.0
01951,2938,175779,0.0234853641933287,1803.0,808400.0
01952,9217,102521,0.0712813279809048,1646.0,450100.0
01960,53961,95173,0.0527417950000926,1902.0,566700.0
01965,752,250001,0.0,4200.0,664500.0
01966,6977,93227,0.055611294252544,1827.0,692500.0
01969,6214,117177,0.0497264242034116,1424.0,633900.0
01970,44115,85189,0.0832596622464014,1800.0,497500.0
01982,7646,127137,0.0567617054669108,1746.0,688500.0
01983,6535,176698,0.019433817903596,1003.0,810400.0
01984,4930,187652,0.1519269776876267,4200.0,841800.0
01985,4536,189048,0.0469576719576719,1809.0,765800.0
02019,17160,120966,0.0770979020979021,1788.0,425900.0
02021,24459,128341,0.0348338035079111,2237.0,665500.0
02025,8358,187060,0.0245273988992581,1959.0,1092500.0
02026,25109,124375,0.0663108845433908,2058.0,630400.0
02030,5893,250001,0.0697437637875445,2500.0,1285800.0
02032,4914,180100,0.0433455433455433,2448.0,673400.0
02035,18516,108559,0.0564916828688701,1763.0,581900.0
02038,33067,142788,0.06988840838298,1856.0,567100.0
02043,24185,181017,0.0360554062435393,2452.0,1075100.0
02045,10098,127112,0.0422856011091305,1885.0,606100.0
02047,142,151000,0.0,3775.0,695100.0
02048,23855,131409,0.0623768601970236,1702.0,571000.0
02050,25903,125436,0.0583330116202756,1620.0,622600.0
02052,12923,214801,0.044803838118084,1652.0,869400.0
02053,13251,174357,0.0538827258320126,1570.0,588900.0
02054,8699,149021,0.0483963673985515,1733.0,570300.0
02056,11556,197379,0.0343544479058497,1791.0,694300.0
02061,11309,182637,0.0384649394287735,2181.0,799600.0
02062,31380,97110,0.0520076481835564,2056.0,613500.0
02066,18895,131889,0.0504895474993384,1579.0,789500.0
02067,18478,183724,0.0264097846087238,2269.0,697900.0
02071,1677,207878,0.0500894454382826,4200.0,590300.0
02072,29074,104164,0.0494256036321111,1993.0,496700.0
02081,19703,150233,0.0402476780185758,1980.0,647200.0
02090,16213,205000,0.0540307160920249,2390.0,985800.0
02093,12305,147930,0.0464851686306379,1046.0,599500.0
02108,4178,212664,0.1218286261369076,2692.0,1570400.0
02109,3714,177500,0.0899299946149703,3501.0,1007200.0
02110,2178,132239,0.0651974288337924,3142.0,1104700.0
02111,8067,70865,0.1518532292054047,1994.0,953400.0
02113,6522,110321,0.2325973627721557,2498.0,693900.0
02114,13853,135057,0.0774561466830289,2933.0,927900.0
02115,28621,53398,0.2572586562314384,2033.0,1015400.0
02116,22040,127309,0.1240018148820326,2341.0,1583500.0
02118,28522,90142,0.0828833882616927,1748.0,1029100.0
02119,26851,43255,0.0932926148001936,1252.0,668900.0
02120,15248,61472,0.301810073452256,1630.0,941200.0
02121,28298,38565,0.0796876104318326,1316.0,548100.0
02122,23471,82945,0.0553874994674278,2052.0,656400.0
02124,55897,79168,0.0566041111329767,1783.0,607200.0
02125,33069,71810,0.0796516374852581,1897.0,645400.0
02126,25313,67206,0.039860941018449,1659.0,515000.0
02127,36646,156373,0.0714948425476177,2435.0,858600.0
02128,44124,92079,0.0573837367419091,2009.0,680000.0
02129,19994,157192,0.0179053716114834,2258.0,926000.0
02130,41109,130533,0.057262399961079,2434.0,763700.0
02131,31564,109237,0.0393803066784944,1999.0,634200.0
02132,27069,139545,0.0301451845284273,2140.0,714000.0
02133,80,-666666666,0.0,1100.0,200000.0
02134,17637,75317,0.2079151783183081,2269.0,586700.0
02135,43683,88208,0.1430991461209166,2179.0,684000.0
02136,38071,96862,0.0460455464789472,1772.0,566300.0
02138,38077,122040,0.1854662919872889,2799.0,1088700.0
02139,39609,124648,0.1509252947562422,2613.0,1066200.0
02140,21361,136382,0.0799588034268058,2581.0,1070200.0
02141,14677,120542,0.1437623492539347,2752.0,892600.0
02142,4349,168788,0.1363531846401471,3501.0,1726900.0
02143,25161,126102,0.0943921147808115,2424.0,930200.0
02144,25009,140591,0.1120396657203406,2654.0,987000.0
02145,27929,119167,0.0949550646281642,2377.0,784900.0
02148,65509,95298,0.0725854462745577,2066.0,607500.0
02149,49236,79658,0.0573360955398488,1988.0,605200.0
02150,39444,72122,0.0539499036608863,1861.0,476500.0
02151,59949,80948,0.0457388780463393,1964.0,566200.0
02152,18807,106357,0.0398787685436273,1909.0,606900.0
02155,61276,118403,0.1000881258567791,2483.0,715500.0
02163,1852,74028,0.25,3501.0,333126.0
